correct_word	non_word	len	space_or_hyphen	levenshtein	real_word_error
breadcrumbs	bred_crumes	11	False	3	False
break	brack	5	False	2	False
break	brick	5	False	2	True
breakfast	brecfast	8	False	2	False
breaks	brakes	6	False	2	True
breeze	breez	5	False	1	False
broken	brocken	7	False	1	False
brother	borther	7	False	2	False
brothers	brother	7	False	1	True
brought	broug	5	False	2	False
brought	brough	6	False	1	False
brussels	brus	4	False	4	False
brussels	brusels	7	False	1	False
brussels	brusls	6	False	2	False
brussels	brust	5	False	4	False
bubbles	bubbals	7	False	2	False
build	billd	5	False	2	False
build	billed	6	False	3	True
build	buld	4	False	1	False
building	billding	8	False	2	False
built	bilt	4	False	1	False
built	buit	4	False	1	False
bullet	bolot	5	False	3	False
bullet	bulet	5	False	1	False
bullet	bulete	6	False	2	False
buried	bered	5	False	2	False
burn	brun	4	False	2	False
by	bihr	4	False	3	False
cafe	kiffe	5	False	3	False
called	cald	4	False	2	False
called	call	4	False	2	True
called	calld	5	False	1	False
called	could	5	False	3	True
calmed	carmd	5	False	2	False
calmer	comer	5	False	2	True
came	cam	3	False	1	True
came	come	4	False	1	True
came	kom	3	False	3	False
came	kum	3	False	3	False
can	came	4	False	2	True
can	cane	4	False	1	True
can't	cant	4	False	1	True
can't	canth	5	False	2	False
can't	carn't	6	False	1	False
can't	carnt	5	False	2	False
candlestick	candle_stick	12	False	1	False
cane	cain	4	False	2	False
cannot	can_not	7	False	1	False
cannot	connot	6	False	1	False
captain	captian	7	False	2	False
captain	captman	7	False	2	False
captain	catptman	8	False	3	False
captain	cpn	3	False	4	False
car	Star	4	False	2	False
career	carrer	6	False	1	False
careful	carefull	8	False	1	False
careful	carful	6	False	1	False
careful	carfull	7	False	2	False
carefully	caresll	7	False	3	False
carried	cared	5	False	2	True
carried	carred	6	False	1	False
carried	carrid	6	False	1	False
carrying	carring	7	False	1	False
castle	carlsat	7	False	5	False
castle	carsal	6	False	3	False
castle	carsell	7	False	3	False
castle	cartal	6	False	3	False
castle	cartill	7	False	3	False
castle	cartsel	7	False	3	False
castle	catal	5	False	3	False
castle	catsal	6	False	3	False
cat's	cats	4	False	1	True
catch	cash	4	False	2	True
catch	chach	5	False	2	False
caught	caugh	5	False	1	False
caught	cort	4	False	4	False
caught	cought	6	False	1	False
celebrated	celebrate	9	False	1	True
chain	choin	5	False	1	False
chair	chere	5	False	3	False
changed	cage	4	False	3	True
character	characte	8	False	1	False
character	charickter	10	False	2	False
charged	change	6	False	2	True
cheerio	cheeroh	7	False	2	False
cheetah	cheter	6	False	3	False
chew	chow	4	False	1	True
children	chidren	7	False	1	False
children's	childrenes	10	False	1	False
chimney	cimbenr	7	False	4	False
chirped	cherped	7	False	1	False
choosing	ching	5	False	3	False
chosen	choosen	7	False	1	False
christmas	christman	9	False	1	False
cinema	cinama	6	False	1	False
cinema	cinma	5	False	1	False
circus	sercus	6	False	2	False
classes	classis	7	False	1	False
clatter	clater	6	False	1	False
claws	clors	5	False	2	False
clean	clearn	6	False	1	False
clean	glean	5	False	1	True
cleaned	clean	5	False	2	True
cleaned	cleand	6	False	1	False
climb	clim	4	False	1	False
climb	clime	5	False	1	True
climbed	cimed	5	False	2	False
climbed	climb	5	False	2	True
closed	closd	5	False	1	False
closed	clous	5	False	3	False
clothes	cloths	6	False	1	True
clothes	clous	5	False	3	False
clothes	colhes	6	False	2	False
clouds	couldes	7	False	3	False
clouds	coulds	6	False	2	False
club	clob	4	False	1	False
club	colbe	5	False	3	False
coat	cote	4	False	2	True
coffins	cofens	6	False	2	False
colour	colur	5	False	1	False
come	com	3	False	1	True
come	comr	4	False	1	False
come	coum	4	False	2	False
come	kumh	4	False	3	False
comes	come	4	False	1	True
comfortable	comvatable	10	False	3	False
coming	come	4	False	3	True
coming	comeing	7	False	1	False
common	comon	5	False	1	False
company	coperney	8	False	4	False
concentrate	consantrate	11	False	2	False
confide	cornfield	9	False	4	True
cops	caps	4	False	1	True
coral	corral	6	False	1	True
cores	corres	6	False	1	False
corner	corer	5	False	1	True
corner	croner	6	False	2	False
could	call	4	False	3	True
could	cod	3	False	2	True
couldn't	couldnt	7	False	1	False
couldn't	count	5	False	3	True
council	counsall	8	False	3	False
council	counsel	7	False	2	True
council	cousall	7	False	3	False
covered	coverd	6	False	1	False
cowboys	cow_Boys	8	False	2	False
crapped	crept	5	False	4	True
crash	crush	5	False	1	True
crawling	crowling	8	False	1	False
creak	creek	5	False	1	True
creeps	creaps	6	False	1	False
creeps	creps	5	False	1	False
creepy	crepy	5	False	1	False
crept	creeped	7	False	3	False
cried	cryed	5	False	1	False
cries	crys	4	False	2	False
crikey	crigckey	8	False	2	False
crisp	cresp	5	False	1	False
crowd	croud	5	False	1	False
cruel	corller	7	False	4	False
cuddling	cuddly	6	False	3	True
cupboard	cobard	6	False	3	False
curled	cerled	6	False	1	False
cylinders	silinders	9	False	2	False
dad	bad	3	False	1	True
dad's	dads	4	False	1	True
daddy's	dadies	6	False	3	False
daffodils	daffodill	9	False	1	False
dance	dane	4	False	1	False
dancing	pncing	6	False	2	False
dangerous	dangers	7	False	2	True
dangerous	dangerus	8	False	1	False
dared	dere	4	False	2	False
daren't	darnt	5	False	2	False
dark	darck	5	False	1	False
dark	dork	4	False	1	True
daughter	dauter	6	False	2	False
days'	day's	5	False	2	True
dear	dead	4	False	1	True
death	deat	4	False	1	False
decided	decider	7	False	1	True
decided	desided	7	False	1	False
decided	dicide	6	False	2	False
decided	dicided	7	False	1	False
decided	dicider	7	False	2	False
decided	disided	7	False	2	False
decision	disson	6	False	3	False
delicate	dellitent	9	False	5	False
den	dener	5	False	2	False
dense	dence	5	False	1	False
department	departent	9	False	1	False
department	depatment	9	False	1	False
destroyed	distrod	7	False	3	False
did	ded	3	False	1	False
didn't	dednt	5	False	2	False
didn't	denat	5	False	3	False
didn't	didden	6	False	3	False
didn't	dident	6	False	2	False
didn't	dind	4	False	3	False
die	diy	3	False	1	False
died	ded	3	False	1	False
died	diad	4	False	1	False
diesel	disel	5	False	1	False
different	diffrent	8	False	1	False
different	difrent	7	False	2	False
difficult	differcult	10	False	2	False
dirty	driy	4	False	2	False
disappeared	disapeared	10	False	1	False
disappeared	disaperd	8	False	3	False
discovered	dicuverd	8	False	3	False
displaying	dispiaying	10	False	1	False
disposal	disposol	8	False	1	False
disturb	distrebe	8	False	3	False
ditch	dich	4	False	1	False
do	don	3	False	1	True
do	done	4	False	2	True
do	go	2	False	1	True
do	to	2	False	1	True
do not	donot	5	True	1	False
does	dus	3	False	2	False
doesn't	does'nt	7	False	2	False
doesn't	does_on	7	False	3	False
doesn't	doesnet	7	False	1	False
doesn't	donsent	7	False	3	False
doesn't	dosnt	5	False	2	False
doing	dowing	6	False	1	False
don't	don	3	False	2	True
don't	dont	4	False	1	False
don't	want	4	False	3	True
done	don	3	False	1	True
done	dun	3	False	2	True
door	boor	4	False	1	True
door	dor	3	False	1	False
door	down	4	False	2	True
double	doudle	6	False	1	False
douche	back	4	False	5	True
down	done	4	False	2	True
down	donw	4	False	2	False
down	dus	3	False	3	False
downstairs	dau_sosys	9	False	7	False
downstairs	down_stairs	11	False	1	False
drain	drian	5	False	2	False
draw	drew	4	False	1	True
dream	drem	4	False	1	False
dreaming	dreming	7	False	1	False
driven	drivern	7	False	1	False
drivers	divers	6	False	1	True
drives	drive	5	False	1	True
drowned	dround	6	False	2	False
drunk	druck	5	False	1	False
dry	drye	4	False	1	False
dumb	doum	4	False	2	False
dump	pump	4	False	1	True
dying	dieing	6	False	2	False
earwigs	eyewigs	7	False	2	False
eat	eate	4	False	1	False
electrician	elecenician	11	False	2	False
else	als	3	False	2	False
else	eles	4	False	2	False
else	els	3	False	1	False
employment	imployment	10	False	1	False
empty	emty	4	False	1	False
engaged	enaged	6	False	1	False
engaged	ingaged	7	False	1	False
engagement	enagement	9	False	1	False
engines	egreers	7	False	4	False
enjoyed	injoid	6	False	3	False
enjoys	enyays	6	False	2	False
enough	a_nougth	8	False	3	False
enough	a_nuff	6	False	5	False
enough	engouh	6	False	2	False
enough	nuff	4	False	4	False
entered	enterd	6	False	1	False
equipment	aquitment	9	False	2	False
especially	a_specally	10	False	3	False
evening	evining	7	False	1	False
evening	evning	6	False	1	False
every	evey	4	False	1	False
every	evry	4	False	1	False
everyone	every_one	9	False	1	False
everyone	evry_on	7	False	3	False
everywhere	every_were	10	False	2	False
everywhere	evry_were	9	False	3	False
excited	exited	6	False	1	True
explore	expore	6	False	1	False
explored	expord	6	False	2	False
eyes	eye	3	False	1	True
eyes	eyey	4	False	1	False
eyes	iyes	4	False	1	False
factory	factoy	6	False	1	False
fainted	fanded	6	False	2	False
falls	forls	5	False	2	False
families	familys	7	False	2	False
far	fare	4	False	1	True
farm	frm	3	False	1	False
farmer	farm	4	False	2	True
farmer	framh	5	False	4	False
farmer	frm	3	False	3	False
farmer	frmh	4	False	3	False
farmer's	farmers	7	False	1	True
farmer's	frmh	4	False	5	False
fashioned	fashion	7	False	2	True
fast	farst	5	False	1	False
father	farther	7	False	1	True
father's	farther's	9	False	1	False
fattening	fating	6	False	3	True
fault	falt	4	False	1	False
feel	feal	4	False	1	False
feeling	feling	6	False	1	False
feet	fee	3	False	1	True
feet	fet	3	False	1	False
fell	fall	4	False	1	True
female	feemale	7	False	1	False
ferrari	ferrary	7	False	1	False
few	faw	3	False	1	False
field	fed	3	False	2	True
field	feild	5	False	2	False
field	fild	4	False	1	False
fight	figth	5	False	2	False
fighting	figthing	8	False	2	False
final	fianl	5	False	2	False
fine	find	4	False	1	True
fins	finse	5	False	1	False
fire	fiar	4	False	2	False
fire	fre	3	False	1	False
fired	fiyed	5	False	1	False
firms	ferman	6	False	3	False
first	fast	4	False	2	True
fish	fsh	3	False	1	False
fishy	fishey	6	False	1	False
fit	fanit	5	False	2	False
flash	flass	5	False	1	False
flick	fick	4	False	1	False
flies	fies	4	False	1	False
floor	flor	4	False	1	False
floor	foor	4	False	1	False
flowers	flower	6	False	1	True
fly	fie	3	False	2	True
followed	fellowed	8	False	1	False
fool	full	4	False	2	True
foot-and-mouth	footandmouth	12	True	2	False
foot-and-mouth	footanmouth	11	True	3	False
footprints	foodprints	10	False	1	False
for	fo	2	False	1	False
for	fore	4	False	1	True
for	four	4	False	1	True
for	fro	3	False	2	True
for	fur	3	False	1	True
for	of	2	False	2	True
for the	fort	4	True	3	True
fork	falk	4	False	2	False
form	frame	5	False	3	True
forward	forword	7	False	1	False
forward	fowd	4	False	3	False
found	fed	3	False	3	True
found	feod	4	False	3	False
found	find	4	False	2	True
found	fond	4	False	1	True
four	for	3	False	1	True
four	fore	4	False	2	True
freezing	frizing	7	False	2	False
friend	fenird	6	False	4	False
friend	frend	5	False	1	False
friendly	frendly	7	False	1	False
friends	freinds	7	False	2	False
friends	frend	5	False	2	False
friends	frends	6	False	1	False
friends	frens	5	False	2	False
frightened	frightend	9	False	1	False
frightened	frigtend	8	False	2	False
frogs	frog	4	False	1	True
frogs	rogs	4	False	1	False
frogspawn	frogsporn	9	False	2	False
from	fom	3	False	1	False
from	for	3	False	2	True
from	form	4	False	2	True
front	frount	6	False	1	False
front	frunt	5	False	1	False
fruit	frit	4	False	1	False
full	fall	4	False	1	True
full	ful	3	False	1	False
funeral	funerl	6	False	1	False
funeral	funrel	6	False	2	False
funny	funney	6	False	1	False
gamekeeper	gamekeeps	9	False	2	False
gang	ganer	5	False	2	False
garage	carage	6	False	1	False
gas	gass	4	False	1	False
gate	gait	4	False	2	True
gave	cave	4	False	1	True
gay	jay	3	False	1	True
gear	gere	4	False	2	False
geared	gird	4	False	3	True
gears	girse	5	False	3	False
get	ge	2	False	1	False
get	gett	4	False	1	False
gets	get	3	False	1	True
getting	get	3	False	4	True
getting	geting	6	False	1	False
girl	gell	4	False	2	False
girl's	girls	5	False	1	True
girlfriend's	girl_friend	11	False	3	False
girlfriends	girlfriend	10	False	1	True
girls	gerls	5	False	1	False
girls	girl	4	False	1	True
given	give	4	False	1	True
gives	give	4	False	1	True
go	do	2	False	1	True
go	got	3	False	1	True
goes	go	2	False	2	True
going	go	2	False	3	True
going	gying	5	False	1	False
gone	go	2	False	2	True
gone	gon	3	False	1	False
goodbye	good-by	7	True	2	False
goodbye	goodby	6	False	1	False
got	get	3	False	1	True
got	gnt	3	False	1	False
got	go	2	False	1	True
grabbed	grab	4	False	3	True
grabbed	grabed	6	False	1	False
grandpa's	grandpas	8	False	1	True
grated	grete	5	False	2	False
grave	crave	5	False	1	True
great	grait	5	False	2	False
greenhouse	gnenhouen	9	False	4	False
grieve	greive	6	False	2	False
grocer	grouser	7	False	2	True
ground	gound	5	False	1	False
ground	grouned	7	False	1	False
grow	grows	5	False	1	True
grown	groon	5	False	1	False
guided	guard	5	False	3	True
guilty	guilt	5	False	1	True
gun	gon	3	False	1	False
gutter	guter	5	False	1	False
had	hab	3	False	1	False
had	hade	4	False	1	False
had	has	3	False	1	True
had	have	4	False	2	True
hadn't	hadnt	5	False	1	False
hair	hire	4	False	2	True
hairdresser	hair_dreser	11	False	2	False
half past	harfparst	9	True	3	False
hallo	alloe	5	False	2	False
hallo	halloe	6	False	1	False
hammering	hemmsering	10	False	2	False
handed	hang	4	False	3	True
hands	hand	4	False	1	True
hang	hung	4	False	1	True
hanging	haing	5	False	2	False
happened	hapend	6	False	2	False
happened	hapends	7	False	3	False
happened	happen	6	False	2	True
happened	happend	7	False	1	False
happened	happon	6	False	3	False
happened	heap	4	False	6	True
happening	happing	7	False	2	False
happens	happends	8	False	1	False
happily	happly	6	False	1	False
hard	had	3	False	1	True
has	as	2	False	1	True
has	hase	4	False	1	False
hates	hate	4	False	1	True
have	has	3	False	2	True
have	hav	3	False	1	False
have	of	2	False	4	True
have to	haveto	6	True	1	False
haven't	haven's	7	False	1	True
haven't	havn't	6	False	1	False
having	haveing	7	False	1	False
he	his	3	False	2	True
he	the	3	False	1	True
he	ther	4	False	2	False
he's	his	3	False	2	True
head	hed	3	False	1	False
healthy	hethy	5	False	2	False
heap	heep	4	False	1	False
hear	haer	4	False	2	False
hear	her	3	False	1	True
hear	here	4	False	2	True
heard	heared	6	False	1	False
heard	her	3	False	2	True
heard	herd	4	False	1	True
heard	hered	5	False	2	False
heart	hart	4	False	1	True
heartbreak	hertbreake	10	False	2	False
heat	heart	5	False	1	True
heavy	hevey	5	False	2	False
hedge	heg	3	False	2	False
heifer	effer	5	False	2	False
held	hasld	5	False	2	False
help	held	4	False	1	True
her	She	3	False	2	False
her	he	2	False	1	True
her	here	4	False	1	True
her	there	5	False	2	True
here	hear	4	False	2	True
herself	he_slef	7	False	3	False
hidden	hidon	5	False	2	False
him	hm	2	False	1	False
him	im	2	False	1	False
himself	him_self	8	False	1	False
himself	his_self	8	False	2	False
his	he	2	False	2	True
his	he's	4	False	2	True
his	is	2	False	1	True
hit	hiter	5	False	2	False
hole	holler	6	False	2	True
home	hime	4	False	1	False
home	hom	3	False	1	False
home	homse	5	False	1	False
honeymoon	honymoon	8	False	1	False
honeymoon	hunemoon	8	False	2	False
hook	hock	4	False	1	True
hope	hop	3	False	1	True
hopped	hop	3	False	3	True
horns	horn	4	False	1	True
horrid	horid	5	False	1	False
horrified	horrieyfide	11	False	4	False
house	houes	5	False	2	False
houseboat	house_boat	10	False	1	False
housebreaking	house_braking	13	False	2	False
houses	houes	5	False	1	False
housework	housee_work	11	False	2	False
hungry	hungrey	7	False	1	False
hurt	heart	5	False	2	True
hurt	hearte	6	False	3	False
hurt	hert	4	False	1	False
husband	husbon	6	False	2	False
hutch	hudge	5	False	3	False
hydraulic	high_drollit	12	False	7	False
idea	ida	3	False	1	False
indian	inded	5	False	3	False
indiscreet	indiscrest	10	False	1	False
inject	injeck	6	False	1	False
injuries	injurys	7	False	2	False
insects	insexs	6	False	2	False
inside	in_side	7	False	1	False
instance	instace	7	False	1	False
instance	instead	7	False	4	True
intercourse	intercors	9	False	2	False
interned	intended	8	False	2	True
introduced	interdust	9	False	5	False
introduced	introducted	11	False	1	False
is	us	2	False	1	True
isn't	in'sen't	8	False	3	False
isn't	isant	5	False	2	False
isn't	isten	5	False	3	False
isn't it	isinted	7	True	5	False
it	hit	3	False	1	True
it	is	2	False	1	True
it	she	3	False	3	True
it's	it	2	False	2	True
it's	its	3	False	1	True
its	is	2	False	1	True
its	it	2	False	1	True
its	it's	4	False	1	True
jail	jaell	5	False	2	False
jar	gare	4	False	2	False
jogged	joged	5	False	1	False
join	goin	4	False	1	False
join	joine	5	False	1	False
juicy	juiciy	6	False	1	False
jumped	jump	4	False	2	True
jumped	jumth	5	False	3	False
jungle	jungel	6	False	2	False
just	gust	4	False	1	True
keep	geep	4	False	1	False
keeps	keep	4	False	1	True
kept	keept	5	False	1	False
kept	kep	3	False	1	False
keys	kees	4	False	1	False
kicking	kiging	6	False	2	False
kidneys	kidney	6	False	1	True
killed	kid	3	False	3	True
killed	kild	4	False	2	False
killed	kill	4	False	2	True
killed	killd	5	False	1	False
kissed	kiss	4	False	2	True
kitchen	kichen	6	False	1	False
kitchen	kitchin	7	False	1	False
kitchen	kitching	8	False	2	False
knew	new	3	False	1	True
knew	now	3	False	2	True
knew	nowe	4	False	3	False
knife	kiffe	5	False	2	False
knife	kniffe	6	False	1	False
knit	knitt	5	False	1	False
knock	nock	4	False	1	False
knocked	knock	5	False	2	True
knocked	knokt	5	False	3	False
knocked	know	4	False	4	True
knocked	nock	4	False	3	False
know	no	2	False	2	True
know	now	3	False	1	True
know	on	2	False	3	True
knows	knowes	6	False	1	False
lady	ladys	5	False	1	False
laid	ladh	4	False	2	False
laid	laide	5	False	1	False
lake	lack	4	False	2	True
lamb	lam	3	False	1	True
landed	laded	5	False	1	True
large	larg	4	False	1	False
lately	latley	6	False	2	False
later	lated	5	False	1	False
later	latter	6	False	1	True
laughing	lauging	7	False	1	False
laundry	lordery	7	False	4	False
lay	ladh	4	False	2	False
lay	laid	4	False	2	True
layby	la-by	5	True	1	False
lead	led	3	False	1	True
lead	leeding	7	False	4	False
leading	lead	4	False	3	True
leave	leav	4	False	1	False
leave	lefnr	5	False	3	False
leave	leve	4	False	1	False
leave	life	4	False	3	True
leaves	leavs	5	False	1	False
left	lift	4	False	1	True
